unit_id,witness,verse,kind,witness_reading,sr_reading
01:40005010:w14:orthography,01,Matt 5:10,orthography,ουρανω¯,ουρανων
01:40005010:w4:orthography,01,Matt 5:10,orthography,ενεκε¯,ενεκεν
01:40005012:w11:substitution,01,Matt 5:12,substitution,ουνοισ,ουρανοισ
01:40005013:w1:orthography,01,Matt 5:13,orthography,υμισ,υμεισ
01:40005013:w10:orthography,01,Matt 5:13,orthography,αλα,αλασ
01:40005013:w12:substitution,01,Matt 5:13,substitution,εντι,εν
01:40005013:w13:substitution,01,Matt 5:13,substitution,νι,τινι
01:40005013:w23:orthography,01,Matt 5:13,orthography,καταπατισθε,καταπατεισθαι
01:40005013:w4:orthography,01,Matt 5:13,orthography,αλα,αλασ
01:40005014:w2:orthography,01,Matt 5:14,orthography,εσται,εστε
01:40005015:w15:orthography,01,Matt 5:15,orthography,λαμπι,λαμπει
01:40005015:w2:orthography,01,Matt 5:15,orthography,κεουσιν,καιουσιν
01:40005015:w3:orthography,01,Matt 5:15,orthography,λυχνο¯,λυχνον
01:40005015:w9:orthography,01,Matt 5:15,orthography,μοδιο¯,μοδιον
01:40005016:w17:addition,01,Matt 5:16,addition,x���,
01:40005016:w19:substitution,01,Matt 5:16,substitution,πρα,πατερα
01:40005016:w21:addition,01,Matt 5:16,addition,xπρα,
01:40005016:w25:substitution,01,Matt 5:16,substitution,ουνοισ,ουρανοισ
01:40005016:w6:orthography,01,Matt 5:16,orthography,εμπροσθε¯,εμπροσθεν
01:40005016:w8:substitution,01,Matt 5:16,substitution,ανων,ανθρωπων
01:40005018:w17:addition,01,Matt 5:18,addition,xκεραια,
01:40005018:w18:orthography,01,Matt 5:18,orthography,κερεαου,κεραια
01:40005018:w19:omission,01,Matt 5:18,omission,,ου
01:40005019:w15:substitution,01,Matt 5:19,substitution,α¯,ανθρωπουσ
01:40005019:w16:addition,01,Matt 5:19,addition,θρωπουσ,
01:40005019:w18:orthography,01,Matt 5:19,orthography,κληθησετε,κληθησεται
01:40005019:w21:orthography,01,Matt 5:19,orthography,βασιλια,βασιλεια
01:40005019:w22:orthography,01,Matt 5:19,orthography,τω¯,των
01:40005019:w23:substitution,01,Matt 5:19,substitution,ουνων,ουρανων
01:40005019:w24:addition,01,Matt 5:19,addition,x,
01:40005019:w29:substitution,01,Matt 5:19,substitution,ϗ,και
01:40005019:w7:orthography,01,Matt 5:19,orthography,εντολω¯,εντολων
01:40005020:w11:substitution,01,Matt 5:20,substitution,x,πλειον
01:40005020:w12:addition,01,Matt 5:20,addition,πλεον,
01:40005020:w18:substitution,01,Matt 5:20,substitution,ουμη,ου
01:40005020:w19:orthography,01,Matt 5:20,orthography,xει,μη
01:40005020:w20:addition,01,Matt 5:20,addition,σελθηται,
01:40005020:w24:orthography,01,Matt 5:20,orthography,βασιλιαν,βασιλειαν
01:40005020:w8:orthography,01,Matt 5:20,orthography,υμω¯,υμων
01:40005022:w13:orthography,01,Matt 5:22,orthography,εστε,εσται
01:40005022:w23:orthography,01,Matt 5:22,orthography,xραχα,ραχα
01:40005022:w24:addition,01,Matt 5:22,addition,ρακα,
01:40005022:w35:orthography,01,Matt 5:22,orthography,εστε,εσται
01:40005022:w5:orthography,01,Matt 5:22,orthography,xοτι,οτι
01:40005023:w16:orthography,01,Matt 5:23,orthography,εχι,εχει
01:40005024:w2:orthography,01,Matt 5:24,orthography,εκι,εκει
01:40005026:w12:orthography,01,Matt 5:26,orthography,εσχατο¯,εσχατον
01:40005026:w7:orthography,01,Matt 5:26,orthography,εκιθεν,εκειθεν
01:40005027:w5:orthography,01,Matt 5:27,orthography,μοιχευσισ,μοιχευσεισ
01:40005029:w16:orthography,01,Matt 5:29,orthography,συμφερι,συμφερει
01:40005029:w23:orthography,01,Matt 5:29,orthography,μελω¯,μελων
01:40005029:w8:orthography,01,Matt 5:29,orthography,σκανδαλιζι,σκανδαλιζει
01:40005030:w10:orthography,01,Matt 5:30,orthography,αυτη¯,αυτην
01:40005030:w15:orthography,01,Matt 5:30,orthography,συμφερι,συμφερει
01:40005030:w21:orthography,01,Matt 5:30,orthography,τω¯,των
01:40005030:w24:substitution,01,Matt 5:30,substitution,xη,και
01:40005030:w25:addition,01,Matt 5:30,addition,ϗ,
01:40005030:w7:orthography,01,Matt 5:30,orthography,σκανδαλιζι,σκανδαλιζει
01:40005032:w20:addition,01,Matt 5:32,addition,xαν,
01:40005032:w25:orthography,01,Matt 5:32,orthography,μοιχαται,μοιχατε
01:40005032:w9:orthography,01,Matt 5:32,orthography,τη¯,την
01:40005033:w10:orthography,01,Matt 5:33,orthography,αποδωσισ,αποδωσεισ
01:40005033:w8:substitution,01,Matt 5:33,substitution,εφιορ,επιορκησεισ
01:40005033:w9:addition,01,Matt 5:33,addition,κησεισ,
01:40005034:w11:substitution,01,Matt 5:34,substitution,ουνω,ουρανω
01:40005034:w16:orthography,01,Matt 5:34,orthography,θεου,θυ
01:40005034:w4:orthography,01,Matt 5:34,orthography,υμι¯,υμιν
01:40005037:w7:orthography,01,Matt 5:37,orthography,ναιου,ναι
01:40005037:w9:omission,01,Matt 5:37,omission,,ου
01:40005038:w10:substitution,01,Matt 5:38,substitution,οδο¯,οδοντοσ
01:40005038:w11:addition,01,Matt 5:38,addition,τοσ,
01:40005039:w13:orthography,01,Matt 5:39,orthography,ραπιζι,ραπιζει
01:40005039:w18:omission,01,Matt 5:39,omission,,σου
01:40005039:w21:orthography,01,Matt 5:39,orthography,τη¯,την
01:40005039:w6:substitution,01,Matt 5:39,substitution,αντιστα,αντιστηναι
01:40005039:w7:addition,01,Matt 5:39,addition,θηναι,
01:40005040:w10:orthography,01,Matt 5:40,orthography,λαβιν,λαβειν
01:40005040:w12:substitution,01,Matt 5:40,substitution,τουτω,αυτω
01:40005040:w16:addition,01,Matt 5:40,addition,σου,
01:40005043:w9:orthography,01,Matt 5:43,orthography,μισησεισ,μεισησεισ
01:40005044:w10:orthography,01,Matt 5:44,orthography,προσευχεσθαιυ,προσευχεσθαι
01:40005044:w11:orthography,01,Matt 5:44,orthography,περ,υπερ
01:40005045:w14:orthography,01,Matt 5:45,orthography,ανατελλι,ανατελλει
01:40005045:w19:addition,01,Matt 5:45,addition,x,
01:40005045:w21:orthography,01,Matt 5:45,orthography,βρεχι,βρεχει
01:40005045:w23:substitution,01,Matt 5:45,substitution,διϗουσ,δικαιουσ
01:40005045:w24:substitution,01,Matt 5:45,substitution,ϗ,και
01:40005045:w5:substitution,01,Matt 5:45,substitution,πρσ,πατροσ
01:40005046:w10:addition,01,Matt 5:46,addition,x,
01:40005046:w12:orthography,01,Matt 5:46,orthography,καιοι,και
01:40005046:w13:omission,01,Matt 5:46,omission,,οι
01:40005047:w10:orthography,01,Matt 5:47,orthography,ποιειται,ποιειτε
01:40005047:w12:orthography,01,Matt 5:47,orthography,καιοι,και
01:40005047:w13:omission,01,Matt 5:47,omission,,οι
01:40005048:w1:substitution,01,Matt 5:48,substitution,εσεσθεουν,ουν
01:40005048:w2:orthography,01,Matt 5:48,orthography,υμισ,υμεισ
01:40005048:w6:substitution,01,Matt 5:48,substitution,πηρ,πατηρ
01:40005048:w7:orthography,01,Matt 5:48,orthography,υμω¯,υμων
01:40006003:w4:orthography,01,Matt 6:3,orthography,ελαιημοσυνην,ελεημοσυνην
01:40006007:w7:addition,01,Matt 6:7,addition,xε,
01:40006008:w11:substitution,01,Matt 6:8,substitution,πηρ,πατηρ
01:40006008:w14:orthography,01,Matt 6:8,orthography,χριαν,χρειαν
01:40006008:w7:addition,01,Matt 6:8,addition,x,
01:40006009:w11:substitution,01,Matt 6:9,substitution,ουνοισ,ουρανοισ
01:40006009:w5:substitution,01,Matt 6:9,substitution,περ,πατερ
01:40006009:w7:addition,01,Matt 6:9,addition,x,
01:40006010:w1:orthography,01,Matt 6:10,orthography,ελθατω,ελθετω
01:40006010:w3:orthography,01,Matt 6:10,orthography,βασιλια,βασιλεια
01:40006012:w6:orthography,01,Matt 6:12,orthography,ημω¯,ημων
01:40006012:w9:orthography,01,Matt 6:12,orthography,ημισ,ημεισ
01:40006013:w6:orthography,01,Matt 6:13,orthography,πιρασμο¯,πειρασμον
01:40006014:w10:orthography,01,Matt 6:14,orthography,αφησι,αφησει
01:40006014:w14:substitution,01,Matt 6:14,substitution,πηρ,πατηρ
01:40006014:w5:substitution,01,Matt 6:14,substitution,ανοισ,ανθρωποισ
01:40006014:w8:addition,01,Matt 6:14,addition,xυτων,
01:40006015:w10:orthography,01,Matt 6:15,orthography,υμιν,υμων
01:40006015:w11:orthography,01,Matt 6:15,orthography,αφησι,αφησει
01:40006015:w13:orthography,01,Matt 6:15,orthography,παραπτωματαυ,παραπτωματα
01:40006015:w14:orthography,01,Matt 6:15,orthography,μων,υμων
01:40006015:w6:substitution,01,Matt 6:15,substitution,ανοισ,ανθρωποισ
01:40006015:w7:omission,01,Matt 6:15,omission,,τα
01:40006015:w9:substitution,01,Matt 6:15,substitution,πηρ,πατηρ
01:40006018:w17:substitution,01,Matt 6:18,substitution,πηρ,πατηρ
01:40006018:w18:addition,01,Matt 6:18,addition,x,
01:40006018:w22:orthography,01,Matt 6:18,orthography,ε¯,εν
01:40006018:w24:addition,01,Matt 6:18,addition,xκρυφεω,
01:40006018:w5:substitution,01,Matt 6:18,substitution,ανοισ,ανθρωποισ
01:40006018:w9:substitution,01,Matt 6:18,substitution,πρι,πατρι
01:40006019:w16:orthography,01,Matt 6:19,orthography,διορυσσουσι¯,διορυσσουσιν
01:40006020:w15:orthography,01,Matt 6:20,orthography,κλεπταιου,κλεπται
01:40006020:w16:omission,01,Matt 6:20,omission,,ου
01:40006020:w17:substitution,01,Matt 6:20,substitution,και,ουδε
01:40006020:w2:orthography,01,Matt 6:20,orthography,δευ,δε
01:40006020:w3:orthography,01,Matt 6:20,orthography,μιν,υμιν
01:40006020:w6:substitution,01,Matt 6:20,substitution,ουνω,ουρανω
01:40006021:w3:orthography,01,Matt 6:21,orthography,εστι¯,εστιν
01:40006021:w7:orthography,01,Matt 6:21,orthography,εκι,εκει
01:40006022:w19:orthography,01,Matt 6:22,orthography,εστε,εσται
01:40006022:w9:omission,01,Matt 6:22,omission,,ουν
01:40006025:w12:omission,01,Matt 6:25,omission,,η
01:40006025:w15:addition,01,Matt 6:25,addition,x,
01:40006025:w26:substitution,01,Matt 6:25,substitution,ϗ,και
01:40006025:w9:orthography,01,Matt 6:25,orthography,υμω¯,υμων
01:40006026:w1:orthography,01,Matt 6:26,orthography,εμβλεψαται,εμβλεψατε
01:40006026:w13:orthography,01,Matt 6:26,orthography,συναγουσι¯,συναγουσιν
01:40006026:w15:addition,01,Matt 6:26,addition,x,
01:40006026:w20:substitution,01,Matt 6:26,substitution,πηρ,πατηρ
01:40006026:w24:orthography,01,Matt 6:26,orthography,τρεφι,τρεφει
01:40006026:w6:substitution,01,Matt 6:26,substitution,ουνου,ουρανου
01:40006027:w5:orthography,01,Matt 6:27,orthography,μεριμνω¯,μεριμνων
01:40006028:w14:substitution,01,Matt 6:28,substitution,κοπι,κοπιουσιν
01:40006028:w15:addition,01,Matt 6:28,addition,ωσιν,
01:40006029:w6:orthography,01,Matt 6:29,orthography,σολομω¯,σολομων
01:40006030:w1:orthography,01,Matt 6:30,orthography,ιδε,δε
01:40006030:w11:orthography,01,Matt 6:30,orthography,κλιβανον,κλειβανον
01:40006030:w16:orthography,01,Matt 6:30,orthography,αμφιεννυσι¯,αμφιεννυσιν
01:40006030:w19:orthography,01,Matt 6:30,orthography,μαλλο¯,μαλλον
01:40006032:w1:orthography,01,Matt 6:32,orthography,ταυτα,παντα
01:40006032:w10:substitution,01,Matt 6:32,substitution,θσ,πατηρ
01:40006032:w11:omission,01,Matt 6:32,omission,,υμων
01:40006032:w12:substitution,01,Matt 6:32,substitution,πηρ,ουρανιοσ
01:40006032:w13:addition,01,Matt 6:32,addition,υμων,
01:40006032:w3:orthography,01,Matt 6:32,orthography,παντα,ταυτα
01:40006034:w10:orthography,01,Matt 6:34,orthography,μεριμνησι,μεριμνησει
01:40007002:w5:orthography,01,Matt 7:2,orthography,κρινετε,κρινεται
01:40007003:w15:omission,01,Matt 7:3,omission,,εν
01:40007003:w16:addition,01,Matt 7:3,addition,την,
01:40007003:w3:orthography,01,Matt 7:3,orthography,βλεπισ,βλεπεισ
01:40007005:w12:orthography,01,Matt 7:5,orthography,διαβλεψισ,διαβλεψεισ
01:40007005:w13:orthography,01,Matt 7:5,orthography,εκβαλλειν,εκβαλειν
01:40007006:w13:orthography,01,Matt 7:6,orthography,τω¯,των
01:40007006:w16:orthography,01,Matt 7:6,orthography,καταπατησωσιν,καταπατησουσιν
01:40007008:w8:orthography,01,Matt 7:8,orthography,ζητω¯,ζητων
01:40007010:w4:orthography,01,Matt 7:10,orthography,αιτησι,αιτησει
01:40007011:w12:addition,01,Matt 7:11,addition,υμω¯,
01:40007011:w18:omission,01,Matt 7:11,omission,,ποσω
01:40007011:w21:substitution,01,Matt 7:11,substitution,ουνοισ,ουρανοισ
01:40007011:w25:orthography,01,Matt 7:11,orthography,αιτουσι¯,αιτουσιν
01:40007011:w3:orthography,01,Matt 7:11,orthography,υμισ,υμεισ
01:40007011:w6:orthography,01,Matt 7:11,orthography,οιδαται,οιδατε
01:40007013:w18:orthography,01,Matt 7:13,orthography,τη¯,την
01:40007013:w19:orthography,01,Matt 7:13,orthography,απωλιαν,απωλειαν
01:40007013:w22:addition,01,Matt 7:13,addition,x,
01:40007013:w8:addition,01,Matt 7:13,addition,x,
01:40007018:w7:orthography,01,Matt 7:18,orthography,xενεγκειν,ενεγκειν
01:40007018:w8:omission,01,Matt 7:18,omission,,ουδε
01:40007018:w9:addition,01,Matt 7:18,addition,ουδε,
01:40007021:w11:orthography,01,Matt 7:21,orthography,βασιλιαν,βασιλειαν
01:40007021:w16:orthography,01,Matt 7:21,orthography,ποιω¯,ποιων
01:40007021:w17:addition,01,Matt 7:21,addition,x,
01:40007021:w23:substitution,01,Matt 7:21,substitution,πρσ,πατροσ
01:40007021:w28:substitution,01,Matt 7:21,substitution,ουνοισ,ουρανοισ
01:40007022:w18:substitution,01,Matt 7:22,substitution,δεμονια,δυναμεισ
01:40007022:w19:substitution,01,Matt 7:22,substitution,xπολλα,πολλασ
01:40007022:w20:substitution,01,Matt 7:22,substitution,εξε,εποιησαμεν
01:40007022:w21:addition,01,Matt 7:22,addition,βαλλομεν,
01:40007022:w9:addition,01,Matt 7:22,addition,κεου,
01:40007022:w9:omission,01,Matt 7:22,omission,,κε
01:40007025:w10:orthography,01,Matt 7:25,orthography,επνευσα¯,επνευσαν
01:40007025:w14:addition,01,Matt 7:25,addition,xπροσ,
01:40007025:w19:orthography,01,Matt 7:25,orthography,εκινη,εκεινη
01:40007025:w26:orthography,01,Matt 7:25,orthography,τη¯,την
01:40007026:w1:orthography,01,Matt 7:26,orthography,xκαι,και
01:40007027:w10:substitution,01,Matt 7:27,substitution,x,επνευσαν
01:40007027:w11:substitution,01,Matt 7:27,substitution,επνευσαν,οι
01:40007027:w12:substitution,01,Matt 7:27,substitution,οι,ανεμοι
01:40007027:w13:substitution,01,Matt 7:27,substitution,ανεμοι,και
01:40007027:w16:orthography,01,Matt 7:27,orthography,οικια,οικεια
01:40007027:w17:orthography,01,Matt 7:27,orthography,εκινη,εκεινη
01:40007027:w6:substitution,01,Matt 7:27,substitution,ηλθα¯,ηλθον
01:40007028:w10:substitution,01,Matt 7:28,substitution,xεξε,εξεπλησσοντο
01:40007028:w11:addition,01,Matt 7:28,addition,πληττοντο,
01:40008004:w12:orthography,01,Matt 8:4,orthography,διξον,δειξον
01:40008004:w16:substitution,01,Matt 8:4,substitution,προσε,προσενεγκον
01:40008004:w17:addition,01,Matt 8:4,addition,νεγκε,
01:40008004:w2:substitution,01,Matt 8:4,substitution,ειπεν,λεγει
01:40008004:w24:orthography,01,Matt 8:4,orthography,μαρτυριο¯,μαρτυριον
01:40008005:w8:addition,01,Matt 8:5,addition,x,
01:40008009:w23:orthography,01,Matt 8:9,orthography,ερχετε,ερχεται
01:40008009:w4:substitution,01,Matt 8:9,substitution,ανοσ,ανθρωποσ
01:40008009:w9:orthography,01,Matt 8:9,orthography,εχω¯,εχων
